1950,2.557628654
1951,2.594939877
1952,2.636772306
1953,2.682053389
1954,2.730228104
1955,2.782098943
1956,2.835299673
1957,2.891349717
1958,2.948137248
1959,3.000716593
1960,3.043001508
1961,3.083966929
1962,3.140093217
1963,3.209827882
1964,3.281201306
1965,3.350425793
1966,3.420677923
1967,3.490333715
1968,3.562313822
1969,3.63715905
1970,3.712697742
1971,3.790326948
1972,3.866568653
1973,3.942096442
1974,4.016608813
1975,4.089083233
1976,4.16018501
1977,4.232084578
1978,4.304105753
1979,4.379013942
1980,4.451362735
1981,4.534410125
1982,4.614566561
1983,4.695736743
1984,4.774569391
1985,4.856462699
1986,4.940571232
1987,5.027200492
1988,5.114557167
1989,5.20144011
1990,5.288955934
1991,5.371585922
1992,5.456136278
1993,5.538268316
1994,5.618682132
1995,5.699202985
1996,5.779440593
1997,5.857972543
1998,5.935213248
1999,6.012074922
2000,6.088571383
2001,6.165219247
2002,6.242016348
2003,6.318590956
2004,6.395699509
2005,6.473044732
2006,6.551263534
2007,6.629913759
2008,6.70904978
2009,6.788214394
2010,6.858584755
2011,6.935999491
2012,7.013871313
2013,7.092128094
2014,7.169968185
2015,7.247892788
2016,7.325996709
